t_s,evader,chaser,safe_x,safe_y,dist_evader_to_safe,path_remaining_evader,dist_chaser_to_evader,path_remaining_chaser,goal_active_evader,goal_active_chaser,event,winner,score_robot1,score_robot2,tags_robot1,tags_robot2,safes_robot1,safes_robot2
0.01,robot2,robot1,-3.500,-3.700,4.727,,2.000,,0,0,,,0,0,0,0,0,0
1.52,robot2,robot1,-3.500,-3.700,4.726,5.050,1.963,2.340,0,1,,,0,0,0,0,0,0
3.09,robot2,robot1,-3.500,-3.700,4.373,4.911,1.347,2.276,0,1,,,0,0,0,0,0,0
4.08,robot2,robot1,-3.500,-3.700,4.040,4.629,0.838,2.683,0,0,tag,robot1,1,0,1,0,0,0
