t_s,evader,chaser,safe_x,safe_y,dist_evader_to_safe,path_remaining_evader,dist_chaser_to_evader,path_remaining_chaser,goal_active_evader,goal_active_chaser,event,winner,score_robot1,score_robot2,tags_robot1,tags_robot2,safes_robot1,safes_robot2
1.01,robot1,robot2,4.000,1.000,7.073,11.681,1.609,0.216,1,0,,,8,9,2,2,6,7
3.13,robot1,robot2,4.000,1.000,6.612,11.098,1.737,1.716,1,1,,,8,9,2,2,6,7
5.28,robot1,robot2,4.000,1.000,6.295,10.622,1.489,1.531,1,0,,,8,9,2,2,6,7
7.33,robot1,robot2,4.000,1.000,5.994,10.229,1.053,2.125,1,0,,,8,9,2,2,6,7
9.34,robot1,robot2,4.000,1.000,5.703,9.774,1.136,0.942,1,0,,,8,9,2,2,6,7
11.63,robot1,robot2,4.000,1.000,5.471,9.316,1.370,1.079,1,0,,,8,9,2,2,6,7
13.67,robot1,robot2,4.000,1.000,5.257,8.793,1.619,1.206,1,0,,,8,9,2,2,6,7
15.67,robot1,robot2,4.000,1.000,5.043,8.229,1.777,1.831,1,0,,,8,9,2,2,6,7
17.83,robot1,robot2,4.000,1.000,4.944,7.778,1.951,1.725,1,0,,,8,9,2,2,6,7
19.97,robot1,robot2,4.000,1.000,4.921,7.264,1.994,1.812,1,0,,,8,9,2,2,6,7
21.92,robot1,robot2,4.000,1.000,4.935,6.745,2.303,2.605,1,0,,,8,9,2,2,6,7
23.77,robot1,robot2,4.000,1.000,4.958,6.139,2.482,2.927,1,0,,,8,9,2,2,6,7
25.42,robot1,robot2,4.000,1.000,4.829,5.883,2.656,3.347,1,0,,,8,9,2,2,6,7
26.91,robot1,robot2,4.000,1.000,4.558,5.405,2.781,2.857,1,0,,,8,9,2,2,6,7
28.49,robot1,robot2,4.000,1.000,4.204,5.104,2.397,2.774,1,0,,,8,9,2,2,6,7
30.20,robot1,robot2,4.000,1.000,3.887,4.707,1.756,2.714,1,0,,,8,9,2,2,6,7
31.73,robot1,robot2,4.000,1.000,3.636,4.396,1.247,2.900,1,0,,,8,9,2,2,6,7
33.27,robot1,robot2,4.000,1.000,3.414,3.669,1.427,3.298,1,0,,,8,9,2,2,6,7
34.88,robot1,robot2,4.000,1.000,3.088,3.104,1.970,3.072,1,0,,,8,9,2,2,6,7
36.50,robot1,robot2,4.000,1.000,2.605,2.774,2.470,3.113,1,0,,,8,9,2,2,6,7
38.03,robot1,robot2,4.000,1.000,2.097,2.127,2.757,2.884,1,0,,,8,9,2,2,6,7
39.75,robot1,robot2,4.000,1.000,1.605,1.820,2.903,3.137,1,0,,,8,9,2,2,6,7
41.43,robot1,robot2,4.000,1.000,1.063,1.199,2.991,3.242,1,0,,,8,9,2,2,6,7
42.05,robot1,robot2,4.000,1.000,0.865,0.900,3.029,3.480,1,0,safe_zone,robot1,9,9,2,2,7,7
