t_s,evader,chaser,safe_x,safe_y,dist_evader_to_safe,path_remaining_evader,dist_chaser_to_evader,path_remaining_chaser,goal_active_evader,goal_active_chaser,event,winner,score_robot1,score_robot2,tags_robot1,tags_robot2,safes_robot1,safes_robot2
0.20,robot2,robot1,4.000,-1.000,7.134,11.084,1.987,0.275,1,0,,,3,1,1,0,2,1
2.44,robot2,robot1,4.000,-1.000,6.857,10.728,2.149,2.928,1,1,,,3,1,1,0,2,1
4.53,robot2,robot1,4.000,-1.000,6.532,10.266,2.132,2.118,1,0,,,3,1,1,0,2,1
6.47,robot2,robot1,4.000,-1.000,6.257,9.686,2.156,1.857,1,0,,,3,1,1,0,2,1
8.53,robot2,robot1,4.000,-1.000,5.944,9.168,2.281,2.255,1,0,,,3,1,1,0,2,1
10.59,robot2,robot1,4.000,-1.000,5.805,8.785,2.341,2.637,1,0,,,3,1,1,0,2,1
12.50,robot2,robot1,4.000,-1.000,5.873,8.170,2.652,2.284,1,0,,,3,1,1,0,2,1
14.59,robot2,robot1,4.000,-1.000,6.100,7.543,2.548,2.235,1,0,,,3,1,1,0,2,1
16.71,robot2,robot1,4.000,-1.000,6.160,7.086,2.405,2.434,1,0,,,3,1,1,0,2,1
18.65,robot2,robot1,4.000,-1.000,6.126,6.683,2.271,2.330,1,0,,,3,1,1,0,2,1
20.64,robot2,robot1,4.000,-1.000,5.900,6.276,2.059,2.059,1,0,,,3,1,1,0,2,1
22.95,robot2,robot1,4.000,-1.000,5.563,5.992,1.865,2.076,1,0,,,3,1,1,0,2,1
25.03,robot2,robot1,4.000,-1.000,5.175,5.613,1.502,2.204,1,0,,,3,1,1,0,2,1
27.08,robot2,robot1,4.000,-1.000,4.796,5.121,1.477,3.015,1,0,,,3,1,1,0,2,1
29.18,robot2,robot1,4.000,-1.000,4.393,4.486,1.893,1.990,1,0,,,3,1,1,0,2,1
31.27,robot2,robot1,4.000,-1.000,3.920,3.999,2.355,2.315,1,0,,,3,1,1,0,2,1
33.26,robot2,robot1,4.000,-1.000,3.425,3.500,2.668,2.470,1,0,,,3,1,1,0,2,1
35.35,robot2,robot1,4.000,-1.000,2.907,2.987,2.831,3.785,1,0,,,3,1,1,0,2,1
37.19,robot2,robot1,4.000,-1.000,2.422,2.475,2.818,2.605,1,0,,,3,1,1,0,2,1
38.67,robot2,robot1,4.000,-1.000,1.954,2.154,2.867,2.782,1,0,,,3,1,1,0,2,1
40.22,robot2,robot1,4.000,-1.000,1.430,1.515,2.955,2.495,1,0,,,3,1,1,0,2,1
41.91,robot2,robot1,4.000,-1.000,0.993,1.193,2.946,2.674,1,0,,,3,1,1,0,2,1
42.09,robot2,robot1,4.000,-1.000,0.945,0.916,2.944,2.674,1,0,safe_zone,robot2,3,2,1,0,2,2
