t_s,evader,chaser,safe_x,safe_y,dist_evader_to_safe,path_remaining_evader,dist_chaser_to_evader,path_remaining_chaser,goal_active_evader,goal_active_chaser,event,winner,score_robot1,score_robot2,tags_robot1,tags_robot2,safes_robot1,safes_robot2
0.57,robot1,robot2,4.000,-1.000,7.107,12.090,2.066,0.243,1,0,,,7,6,2,1,5,5
2.51,robot1,robot2,4.000,-1.000,6.935,11.966,1.970,3.736,1,1,,,7,6,2,1,5,5
4.63,robot1,robot2,4.000,-1.000,6.622,11.502,1.500,3.577,1,1,,,7,6,2,1,5,5
6.70,robot1,robot2,4.000,-1.000,6.397,11.050,1.283,2.246,1,0,,,7,6,2,1,5,5
8.64,robot1,robot2,4.000,-1.000,6.202,10.503,1.026,2.514,1,0,,,7,6,2,1,5,5
9.06,robot1,robot2,4.000,-1.000,6.174,10.503,0.970,2.413,1,0,tag,robot2,7,7,2,2,5,5
