t_s,evader,chaser,safe_x,safe_y,dist_evader_to_safe,path_remaining_evader,dist_chaser_to_evader,path_remaining_chaser,goal_active_evader,goal_active_chaser,event,winner,score_robot1,score_robot2,tags_robot1,tags_robot2,safes_robot1,safes_robot2
0.79,robot1,robot2,4.000,-1.000,6.829,9.982,1.886,0.249,1,0,,,2,1,1,0,1,1
2.46,robot1,robot2,4.000,-1.000,6.400,9.474,2.071,3.597,1,1,,,2,1,1,0,1,1
3.95,robot1,robot2,4.000,-1.000,5.994,9.135,1.927,1.651,1,0,,,2,1,1,0,1,1
5.48,robot1,robot2,4.000,-1.000,5.628,8.505,1.838,1.666,1,1,,,2,1,1,0,1,1
7.22,robot1,robot2,4.000,-1.000,5.281,7.869,1.884,2.174,1,0,,,2,1,1,0,1,1
9.25,robot1,robot2,4.000,-1.000,5.093,7.373,2.149,2.130,1,0,,,2,1,1,0,1,1
11.48,robot1,robot2,4.000,-1.000,5.073,6.934,2.372,1.964,1,0,,,2,1,1,0,1,1
13.67,robot1,robot2,4.000,-1.000,5.099,6.371,2.442,2.059,1,0,,,2,1,1,0,1,1
15.74,robot1,robot2,4.000,-1.000,4.994,5.732,2.355,2.473,1,0,,,2,1,1,0,1,1
17.67,robot1,robot2,4.000,-1.000,4.796,5.427,2.416,2.412,1,0,,,2,1,1,0,1,1
19.72,robot1,robot2,4.000,-1.000,4.515,5.013,2.106,2.225,1,0,,,2,1,1,0,1,1
21.85,robot1,robot2,4.000,-1.000,4.062,4.477,1.793,3.487,1,0,,,2,1,1,0,1,1
24.04,robot1,robot2,4.000,-1.000,3.642,4.043,1.668,1.969,1,0,,,2,1,1,0,1,1
26.16,robot1,robot2,4.000,-1.000,3.284,3.539,1.917,3.427,1,0,,,2,1,1,0,1,1
28.34,robot1,robot2,4.000,-1.000,2.872,2.995,2.414,2.574,1,0,,,2,1,1,0,1,1
30.24,robot1,robot2,4.000,-1.000,2.390,2.499,2.816,2.560,1,0,,,2,1,1,0,1,1
32.31,robot1,robot2,4.000,-1.000,1.883,1.977,2.968,3.758,1,0,,,2,1,1,0,1,1
34.67,robot1,robot2,4.000,-1.000,1.401,1.503,2.977,3.516,1,0,,,2,1,1,0,1,1
36.84,robot1,robot2,4.000,-1.000,0.968,1.151,3.014,2.833,1,0,safe_zone,robot1,3,1,1,0,2,1
