t_s,evader,chaser,safe_x,safe_y,dist_evader_to_safe,path_remaining_evader,dist_chaser_to_evader,path_remaining_chaser,goal_active_evader,goal_active_chaser,event,winner,score_robot1,score_robot2,tags_robot1,tags_robot2,safes_robot1,safes_robot2
1.34,robot2,robot1,4.000,-1.000,6.867,10.705,1.756,0.230,1,0,,,7,7,2,2,5,5
2.90,robot2,robot1,4.000,-1.000,6.512,10.397,2.084,1.832,1,1,,,7,7,2,2,5,5
4.54,robot2,robot1,4.000,-1.000,6.255,9.720,2.152,1.780,1,0,,,7,7,2,2,5,5
6.24,robot2,robot1,4.000,-1.000,5.998,9.069,2.113,2.487,1,0,,,7,7,2,2,5,5
7.78,robot2,robot1,4.000,-1.000,5.858,8.774,2.490,2.596,1,0,,,7,7,2,2,5,5
9.56,robot2,robot1,4.000,-1.000,5.901,8.145,2.522,2.504,1,0,,,7,7,2,2,5,5
11.63,robot2,robot1,4.000,-1.000,6.072,7.703,2.784,2.727,1,0,,,7,7,2,2,5,5
13.76,robot2,robot1,4.000,-1.000,6.152,7.064,2.748,2.723,1,0,,,7,7,2,2,5,5
15.73,robot2,robot1,4.000,-1.000,6.077,6.575,2.609,2.609,1,0,,,7,7,2,2,5,5
17.79,robot2,robot1,4.000,-1.000,5.889,6.241,2.342,2.167,1,0,,,7,7,2,2,5,5
19.91,robot2,robot1,4.000,-1.000,5.564,5.951,1.863,2.979,1,0,,,7,7,2,2,5,5
21.81,robot2,robot1,4.000,-1.000,5.118,5.440,1.505,2.207,1,0,,,7,7,2,2,5,5
23.80,robot2,robot1,4.000,-1.000,4.719,4.999,1.480,1.863,1,0,,,7,7,2,2,5,5
26.13,robot2,robot1,4.000,-1.000,4.316,4.413,1.861,2.127,1,0,,,7,7,2,2,5,5
28.14,robot2,robot1,4.000,-1.000,3.850,3.985,2.286,2.215,1,0,,,7,7,2,2,5,5
30.15,robot2,robot1,4.000,-1.000,3.346,3.418,2.625,2.384,1,0,,,7,7,2,2,5,5
32.28,robot2,robot1,4.000,-1.000,2.854,2.947,2.760,2.587,1,0,,,7,7,2,2,5,5
34.34,robot2,robot1,4.000,-1.000,2.363,2.475,2.791,2.541,1,0,,,7,7,2,2,5,5
36.34,robot2,robot1,4.000,-1.000,1.887,1.973,2.878,2.638,1,0,,,7,7,2,2,5,5
38.43,robot2,robot1,4.000,-1.000,1.387,1.473,2.965,2.517,1,0,,,7,7,2,2,5,5
40.51,robot2,robot1,4.000,-1.000,0.894,1.025,2.971,2.490,1,0,safe_zone,robot2,7,8,2,2,5,6
