t_s,evader,chaser,safe_x,safe_y,dist_evader_to_safe,path_remaining_evader,dist_chaser_to_evader,path_remaining_chaser,goal_active_evader,goal_active_chaser,event,winner,score_robot1,score_robot2,tags_robot1,tags_robot2,safes_robot1,safes_robot2
0.47,robot2,robot1,4.000,-1.000,7.108,10.859,2.060,0.246,1,0,,,4,2,1,0,3,2
2.15,robot2,robot1,4.000,-1.000,6.780,10.431,2.243,1.889,1,1,,,4,2,1,0,3,2
3.66,robot2,robot1,4.000,-1.000,6.460,10.074,2.491,2.466,1,0,,,4,2,1,0,3,2
5.21,robot2,robot1,4.000,-1.000,6.114,9.416,2.886,3.940,1,0,,,4,2,1,0,3,2
7.43,robot2,robot1,4.000,-1.000,5.897,8.867,3.100,3.095,1,0,,,4,2,1,0,3,2
9.43,robot2,robot1,4.000,-1.000,5.847,8.339,3.528,3.433,1,0,,,4,2,1,0,3,2
11.43,robot2,robot1,4.000,-1.000,5.976,7.832,3.603,3.493,1,0,,,4,2,1,0,3,2
13.52,robot2,robot1,4.000,-1.000,6.113,7.241,3.632,3.396,1,0,,,4,2,1,0,3,2
15.56,robot2,robot1,4.000,-1.000,6.097,6.857,3.530,3.466,1,0,,,4,2,1,0,3,2
17.53,robot2,robot1,4.000,-1.000,5.949,6.381,3.331,3.622,1,0,,,4,2,1,0,3,2
19.72,robot2,robot1,4.000,-1.000,5.685,6.111,2.975,3.342,1,0,,,4,2,1,0,3,2
21.97,robot2,robot1,4.000,-1.000,5.301,5.788,2.463,3.167,1,0,,,4,2,1,0,3,2
23.93,robot2,robot1,4.000,-1.000,4.859,5.211,1.802,3.041,1,0,,,4,2,1,0,3,2
25.99,robot2,robot1,4.000,-1.000,4.501,4.708,1.541,3.007,1,0,,,4,2,1,0,3,2
28.14,robot2,robot1,4.000,-1.000,4.121,4.267,1.913,2.950,1,0,,,4,2,1,0,3,2
30.10,robot2,robot1,4.000,-1.000,3.630,3.768,2.460,3.308,1,0,,,4,2,1,0,3,2
32.05,robot2,robot1,4.000,-1.000,3.154,3.227,2.888,2.878,1,0,,,4,2,1,0,3,2
34.14,robot2,robot1,4.000,-1.000,2.660,2.713,3.161,3.039,1,0,,,4,2,1,0,3,2
36.31,robot2,robot1,4.000,-1.000,2.193,2.223,3.281,3.214,1,1,,,4,2,1,0,3,2
38.39,robot2,robot1,4.000,-1.000,1.706,1.775,3.347,3.354,1,0,,,4,2,1,0,3,2
40.64,robot2,robot1,4.000,-1.000,1.205,1.320,3.466,3.180,1,0,,,4,2,1,0,3,2
41.54,robot2,robot1,4.000,-1.000,0.999,1.071,3.520,3.420,1,0,safe_zone,robot2,4,3,1,0,3,3
