t_s,evader,chaser,safe_x,safe_y,dist_evader_to_safe,path_remaining_evader,dist_chaser_to_evader,path_remaining_chaser,goal_active_evader,goal_active_chaser,event,winner,score_robot1,score_robot2,tags_robot1,tags_robot2,safes_robot1,safes_robot2
1.25,robot2,robot1,4.000,-1.000,6.964,10.533,2.173,0.275,1,0,,,2,0,1,0,1,0
2.77,robot2,robot1,4.000,-1.000,6.617,10.196,2.539,3.669,1,1,,,2,0,1,0,1,0
4.39,robot2,robot1,4.000,-1.000,6.309,9.682,2.672,3.481,1,0,,,2,0,1,0,1,0
5.95,robot2,robot1,4.000,-1.000,6.017,9.315,2.894,2.798,1,0,,,2,0,1,0,1,0
7.60,robot2,robot1,4.000,-1.000,5.810,8.643,3.103,2.632,1,0,,,2,0,1,0,1,0
9.03,robot2,robot1,4.000,-1.000,5.894,8.237,3.104,2.780,1,0,,,2,0,1,0,1,0
10.57,robot2,robot1,4.000,-1.000,6.078,7.589,3.017,2.658,1,0,,,2,0,1,0,1,0
12.26,robot2,robot1,4.000,-1.000,6.151,7.296,2.929,2.810,1,0,,,2,0,1,0,1,0
13.97,robot2,robot1,4.000,-1.000,6.079,6.616,2.784,2.641,1,0,,,2,0,1,0,1,0
15.55,robot2,robot1,4.000,-1.000,5.859,6.201,2.492,2.827,1,0,,,2,0,1,0,1,0
17.23,robot2,robot1,4.000,-1.000,5.538,5.989,2.062,3.751,1,0,,,2,0,1,0,1,0
18.77,robot2,robot1,4.000,-1.000,5.084,5.408,1.568,2.284,1,0,,,2,0,1,0,1,0
20.35,robot2,robot1,4.000,-1.000,4.674,5.211,1.499,3.458,1,0,,,2,0,1,0,1,0
21.97,robot2,robot1,4.000,-1.000,4.206,4.384,2.033,2.287,1,0,,,2,0,1,0,1,0
23.95,robot2,robot1,4.000,-1.000,3.725,3.817,2.502,2.535,1,0,,,2,0,1,0,1,0
25.94,robot2,robot1,4.000,-1.000,3.212,3.276,2.917,2.696,1,0,,,2,0,1,0,1,0
27.98,robot2,robot1,4.000,-1.000,2.715,2.773,3.113,2.845,1,0,,,2,0,1,0,1,0
30.33,robot2,robot1,4.000,-1.000,2.230,2.334,3.206,3.023,1,0,,,2,0,1,0,1,0
32.24,robot2,robot1,4.000,-1.000,1.723,1.760,3.255,3.035,1,0,,,2,0,1,0,1,0
34.18,robot2,robot1,4.000,-1.000,1.223,1.232,3.357,3.070,1,0,,,2,0,1,0,1,0
35.20,robot2,robot1,4.000,-1.000,0.925,1.025,3.396,3.175,1,0,safe_zone,robot2,2,1,1,0,1,1
