t_s,evader,chaser,safe_x,safe_y,dist_evader_to_safe,path_remaining_evader,dist_chaser_to_evader,path_remaining_chaser,goal_active_evader,goal_active_chaser,event,winner,score_robot1,score_robot2,tags_robot1,tags_robot2,safes_robot1,safes_robot2
0.85,robot1,robot2,4.000,1.000,7.057,11.158,1.915,0.238,1,0,,,5,4,1,0,4,4
2.43,robot1,robot2,4.000,1.000,6.676,10.686,2.085,1.866,1,1,,,5,4,1,0,4,4
4.24,robot1,robot2,4.000,1.000,6.447,10.131,2.016,1.762,1,1,,,5,4,1,0,4,4
5.83,robot1,robot2,4.000,1.000,6.184,9.844,1.945,2.056,1,0,,,5,4,1,0,4,4
7.38,robot1,robot2,4.000,1.000,5.938,9.185,2.003,2.229,1,0,,,5,4,1,0,4,4
8.99,robot1,robot2,4.000,1.000,5.882,8.912,2.246,3.585,1,0,,,5,4,1,0,4,4
10.85,robot1,robot2,4.000,1.000,6.018,8.364,2.415,2.301,1,0,,,5,4,1,0,4,4
12.80,robot1,robot2,4.000,1.000,6.223,7.653,2.492,2.060,1,0,,,5,4,1,0,4,4
14.77,robot1,robot2,4.000,1.000,6.315,7.185,2.542,2.321,1,0,,,5,4,1,0,4,4
16.92,robot1,robot2,4.000,1.000,6.252,6.868,2.417,2.421,1,0,,,5,4,1,0,4,4
18.76,robot1,robot2,4.000,1.000,6.011,6.461,2.333,3.566,1,0,,,5,4,1,0,4,4
20.78,robot1,robot2,4.000,1.000,5.684,6.109,1.944,2.308,1,0,,,5,4,1,0,4,4
23.13,robot1,robot2,4.000,1.000,5.220,5.550,1.537,1.885,1,0,,,5,4,1,0,4,4
25.22,robot1,robot2,4.000,1.000,4.802,5.091,1.543,1.930,1,0,,,5,4,1,0,4,4
27.16,robot1,robot2,4.000,1.000,4.306,4.561,1.987,2.569,1,0,,,5,4,1,0,4,4
29.21,robot1,robot2,4.000,1.000,3.867,4.074,2.387,2.646,1,0,,,5,4,1,0,4,4
31.47,robot1,robot2,4.000,1.000,3.381,3.597,2.703,3.307,1,0,,,5,4,1,0,4,4
33.51,robot1,robot2,4.000,1.000,2.891,3.053,2.880,3.831,1,0,,,5,4,1,0,4,4
35.61,robot1,robot2,4.000,1.000,2.399,2.546,2.927,3.512,1,0,,,5,4,1,0,4,4
37.75,robot1,robot2,4.000,1.000,1.921,2.161,2.990,2.538,1,0,,,5,4,1,0,4,4
39.64,robot1,robot2,4.000,1.000,1.441,1.583,3.008,2.771,1,0,,,5,4,1,0,4,4
41.67,robot1,robot2,4.000,1.000,0.954,1.092,3.032,2.800,1,0,safe_zone,robot1,6,4,1,0,5,4
