t_s,evader,chaser,safe_x,safe_y,dist_evader_to_safe,path_remaining_evader,dist_chaser_to_evader,path_remaining_chaser,goal_active_evader,goal_active_chaser,event,winner,score_robot1,score_robot2,tags_robot1,tags_robot2,safes_robot1,safes_robot2
1.17,robot1,robot2,-3.500,3.700,4.533,7.248,2.007,0.250,1,0,,,13,12,4,3,9,9
2.69,robot1,robot2,-3.500,3.700,4.342,6.987,1.681,2.989,1,1,,,13,12,4,3,9,9
4.28,robot1,robot2,-3.500,3.700,4.046,6.388,1.045,1.641,1,0,,,13,12,4,3,9,9
4.61,robot1,robot2,-3.500,3.700,3.981,6.388,0.915,1.641,1,0,tag,robot2,13,13,4,4,9,9
