t_s,evader,chaser,safe_x,safe_y,dist_evader_to_safe,path_remaining_evader,dist_chaser_to_evader,path_remaining_chaser,goal_active_evader,goal_active_chaser,event,winner,score_robot1,score_robot2,tags_robot1,tags_robot2,safes_robot1,safes_robot2
1.39,robot2,robot1,4.000,-1.000,7.004,10.966,2.097,0.247,1,0,,,5,3,1,0,4,3
3.42,robot2,robot1,4.000,-1.000,6.653,10.400,2.397,3.145,1,1,,,5,3,1,0,4,3
5.49,robot2,robot1,4.000,-1.000,6.362,9.924,2.480,3.312,1,0,,,5,3,1,0,4,3
7.71,robot2,robot1,4.000,-1.000,6.031,9.451,2.563,2.870,1,0,,,5,3,1,0,4,3
9.64,robot2,robot1,4.000,-1.000,5.846,8.858,2.668,2.694,1,0,,,5,3,1,0,4,3
11.64,robot2,robot1,4.000,-1.000,5.853,8.259,2.933,3.661,1,0,,,5,3,1,0,4,3
13.76,robot2,robot1,4.000,-1.000,5.992,7.737,3.007,2.602,1,0,,,5,3,1,0,4,3
15.78,robot2,robot1,4.000,-1.000,6.133,7.329,3.090,2.711,1,0,,,5,3,1,0,4,3
17.78,robot2,robot1,4.000,-1.000,6.078,6.731,2.908,2.907,1,0,,,5,3,1,0,4,3
19.42,robot2,robot1,4.000,-1.000,5.869,6.514,2.648,2.860,1,0,,,5,3,1,0,4,3
21.05,robot2,robot1,4.000,-1.000,5.600,6.008,2.273,2.509,1,0,,,5,3,1,0,4,3
22.59,robot2,robot1,4.000,-1.000,5.239,5.538,1.791,3.867,1,0,,,5,3,1,0,4,3
24.18,robot2,robot1,4.000,-1.000,4.848,5.244,1.410,2.134,1,0,,,5,3,1,0,4,3
25.85,robot2,robot1,4.000,-1.000,4.441,4.621,1.691,3.434,1,0,,,5,3,1,0,4,3
27.36,robot2,robot1,4.000,-1.000,3.978,4.204,2.236,2.450,1,1,,,5,3,1,0,4,3
28.92,robot2,robot1,4.000,-1.000,3.484,3.536,2.671,2.716,1,0,,,5,3,1,0,4,3
30.58,robot2,robot1,4.000,-1.000,2.992,3.245,2.921,4.034,1,0,,,5,3,1,0,4,3
32.10,robot2,robot1,4.000,-1.000,2.497,2.592,3.012,3.774,1,0,,,5,3,1,0,4,3
33.80,robot2,robot1,4.000,-1.000,1.992,2.223,3.062,2.874,1,0,,,5,3,1,0,4,3
35.49,robot2,robot1,4.000,-1.000,1.500,1.667,3.180,2.912,1,0,,,5,3,1,0,4,3
37.11,robot2,robot1,4.000,-1.000,0.992,1.025,3.187,3.119,1,0,safe_zone,robot2,5,4,1,0,4,4
