t_s,evader,chaser,safe_x,safe_y,dist_evader_to_safe,path_remaining_evader,dist_chaser_to_evader,path_remaining_chaser,goal_active_evader,goal_active_chaser,event,winner,score_robot1,score_robot2,tags_robot1,tags_robot2,safes_robot1,safes_robot2
0.19,robot1,robot2,4.000,-1.000,6.884,9.910,1.972,0.201,1,0,,,4,3,1,0,3,3
2.16,robot1,robot2,4.000,-1.000,6.556,9.532,2.099,1.764,1,1,,,4,3,1,0,3,3
4.41,robot1,robot2,4.000,-1.000,6.136,9.090,1.957,1.703,1,0,,,4,3,1,0,3,3
6.55,robot1,robot2,4.000,-1.000,5.764,8.617,1.880,1.527,1,0,,,4,3,1,0,3,3
8.49,robot1,robot2,4.000,-1.000,5.380,8.040,1.880,1.975,1,0,,,4,3,1,0,3,3
10.56,robot1,robot2,4.000,-1.000,5.122,7.549,1.982,2.206,1,0,,,4,3,1,0,3,3
12.60,robot1,robot2,4.000,-1.000,5.067,7.051,2.320,1.869,1,0,,,4,3,1,0,3,3
14.56,robot1,robot2,4.000,-1.000,5.104,6.508,2.285,2.049,1,0,,,4,3,1,0,3,3
16.59,robot1,robot2,4.000,-1.000,5.042,5.985,2.268,2.256,1,1,,,4,3,1,0,3,3
18.72,robot1,robot2,4.000,-1.000,4.881,5.461,2.217,2.249,1,0,,,4,3,1,0,3,3
20.60,robot1,robot2,4.000,-1.000,4.631,5.046,2.206,2.241,1,0,,,4,3,1,0,3,3
22.60,robot1,robot2,4.000,-1.000,4.285,4.655,1.771,2.142,1,0,,,4,3,1,0,3,3
24.71,robot1,robot2,4.000,-1.000,3.821,4.186,1.518,2.202,1,0,,,4,3,1,0,3,3
26.72,robot1,robot2,4.000,-1.000,3.423,3.640,1.666,3.382,1,0,,,4,3,1,0,3,3
28.67,robot1,robot2,4.000,-1.000,3.085,3.476,2.117,2.368,1,0,,,4,3,1,0,3,3
30.67,robot1,robot2,4.000,-1.000,2.621,2.853,2.496,2.508,1,0,,,4,3,1,0,3,3
32.76,robot1,robot2,4.000,-1.000,2.112,2.073,2.695,4.231,1,0,,,4,3,1,0,3,3
34.48,robot1,robot2,4.000,-1.000,1.599,1.817,2.814,3.637,1,0,,,4,3,1,0,3,3
36.10,robot1,robot2,4.000,-1.000,1.131,1.178,2.834,3.319,1,0,,,4,3,1,0,3,3
36.62,robot1,robot2,4.000,-1.000,0.983,1.178,2.880,3.319,1,0,safe_zone,robot1,5,3,1,0,4,3
