t_s,evader,chaser,safe_x,safe_y,dist_evader_to_safe,path_remaining_evader,dist_chaser_to_evader,path_remaining_chaser,goal_active_evader,goal_active_chaser,event,winner,score_robot1,score_robot2,tags_robot1,tags_robot2,safes_robot1,safes_robot2
1.02,robot2,robot1,4.000,-1.000,7.036,11.017,2.125,0.216,1,0,,,12,10,4,3,8,7
2.94,robot2,robot1,4.000,-1.000,6.673,10.563,2.355,4.165,1,1,,,12,10,4,3,8,7
5.25,robot2,robot1,4.000,-1.000,6.353,9.844,2.556,4.706,1,0,,,12,10,4,3,8,7
7.32,robot2,robot1,4.000,-1.000,6.083,9.224,2.573,2.715,1,0,,,12,10,4,3,8,7
9.22,robot2,robot1,4.000,-1.000,5.877,9.016,2.626,2.980,1,0,,,12,10,4,3,8,7
11.35,robot2,robot1,4.000,-1.000,5.906,8.179,2.908,2.907,1,0,,,12,10,4,3,8,7
13.32,robot2,robot1,4.000,-1.000,6.023,7.956,2.901,3.108,1,0,,,12,10,4,3,8,7
15.19,robot2,robot1,4.000,-1.000,6.119,7.576,2.956,2.928,1,0,,,12,10,4,3,8,7
17.17,robot2,robot1,4.000,-1.000,6.082,6.769,2.908,2.921,1,0,,,12,10,4,3,8,7
19.17,robot2,robot1,4.000,-1.000,5.929,6.443,2.620,2.821,1,0,,,12,10,4,3,8,7
21.01,robot2,robot1,4.000,-1.000,5.640,6.054,2.168,2.743,1,0,,,12,10,4,3,8,7
22.92,robot2,robot1,4.000,-1.000,5.207,5.592,1.643,3.465,1,0,,,12,10,4,3,8,7
24.97,robot2,robot1,4.000,-1.000,4.798,5.152,1.388,2.088,1,0,,,12,10,4,3,8,7
26.94,robot2,robot1,4.000,-1.000,4.363,4.498,1.744,2.190,1,0,,,12,10,4,3,8,7
28.41,robot2,robot1,4.000,-1.000,3.915,4.159,2.245,2.543,1,0,,,12,10,4,3,8,7
29.94,robot2,robot1,4.000,-1.000,3.415,3.480,2.659,2.458,1,0,,,12,10,4,3,8,7
31.41,robot2,robot1,4.000,-1.000,2.937,3.188,2.883,4.068,1,0,,,12,10,4,3,8,7
32.95,robot2,robot1,4.000,-1.000,2.469,2.494,2.953,3.541,1,0,,,12,10,4,3,8,7
34.52,robot2,robot1,4.000,-1.000,1.982,2.152,3.002,2.921,1,0,,,12,10,4,3,8,7
36.06,robot2,robot1,4.000,-1.000,1.500,1.525,3.119,2.814,1,1,,,12,10,4,3,8,7
37.46,robot2,robot1,4.000,-1.000,1.009,1.180,3.185,2.843,1,0,,,12,10,4,3,8,7
37.61,robot2,robot1,4.000,-1.000,0.959,1.180,3.190,2.843,1,0,safe_zone,robot2,12,11,4,3,8,8
