t_s,evader,chaser,safe_x,safe_y,dist_evader_to_safe,path_remaining_evader,dist_chaser_to_evader,path_remaining_chaser,goal_active_evader,goal_active_chaser,event,winner,score_robot1,score_robot2,tags_robot1,tags_robot2,safes_robot1,safes_robot2
0.98,robot2,robot1,4.000,1.000,6.841,11.707,2.005,0.250,1,0,,,8,8,2,2,6,6
2.54,robot2,robot1,4.000,1.000,6.390,11.211,2.304,3.346,1,1,,,8,8,2,2,6,6
4.17,robot2,robot1,4.000,1.000,5.962,10.472,2.365,2.269,1,0,,,8,8,2,2,6,6
5.79,robot2,robot1,4.000,1.000,5.540,10.224,2.496,2.873,1,0,,,8,8,2,2,6,6
7.45,robot2,robot1,4.000,1.000,5.160,9.359,2.728,3.542,1,0,,,8,8,2,2,6,6
8.98,robot2,robot1,4.000,1.000,5.042,8.806,2.988,3.613,1,0,,,8,8,2,2,6,6
10.84,robot2,robot1,4.000,1.000,5.074,7.550,3.054,2.996,1,0,,,8,8,2,2,6,6
12.91,robot2,robot1,4.000,1.000,5.065,6.371,3.189,2.965,1,0,,,8,8,2,2,6,6
14.86,robot2,robot1,4.000,1.000,4.912,5.939,3.055,2.873,1,0,,,8,8,2,2,6,6
16.98,robot2,robot1,4.000,1.000,4.675,5.502,2.823,2.958,1,0,,,8,8,2,2,6,6
19.19,robot2,robot1,4.000,1.000,4.366,5.207,2.437,2.866,1,0,,,8,8,2,2,6,6
21.12,robot2,robot1,4.000,1.000,4.013,4.816,1.911,2.973,1,0,,,8,8,2,2,6,6
23.08,robot2,robot1,4.000,1.000,3.705,4.326,1.476,2.351,1,0,,,8,8,2,2,6,6
25.27,robot2,robot1,4.000,1.000,3.454,3.860,1.613,2.365,1,0,,,8,8,2,2,6,6
27.37,robot2,robot1,4.000,1.000,3.167,3.543,1.973,2.486,1,0,,,8,8,2,2,6,6
30.06,robot2,robot1,4.000,1.000,2.702,2.726,2.356,2.304,1,0,,,8,8,2,2,6,6
32.24,robot2,robot1,4.000,1.000,2.216,2.289,2.500,3.377,1,0,,,8,8,2,2,6,6
34.64,robot2,robot1,4.000,1.000,1.721,1.883,2.499,4.188,1,0,,,8,8,2,2,6,6
36.81,robot2,robot1,4.000,1.000,1.238,1.428,2.564,3.802,1,0,,,8,8,2,2,6,6
37.87,robot2,robot1,4.000,1.000,0.991,1.216,2.663,3.386,1,0,safe_zone,robot2,8,9,2,2,6,7
