t_s,evader,chaser,safe_x,safe_y,dist_evader_to_safe,path_remaining_evader,dist_chaser_to_evader,path_remaining_chaser,goal_active_evader,goal_active_chaser,event,winner,score_robot1,score_robot2,tags_robot1,tags_robot2,safes_robot1,safes_robot2
0.42,robot1,robot2,4.000,-1.000,7.084,10.466,2.062,0.259,1,0,,,9,12,2,3,7,9
2.54,robot1,robot2,4.000,-1.000,6.670,10.098,2.133,3.976,1,1,,,9,12,2,3,7,9
4.48,robot1,robot2,4.000,-1.000,6.208,9.575,2.222,4.184,1,0,,,9,12,2,3,7,9
6.50,robot1,robot2,4.000,-1.000,5.726,9.053,2.416,3.082,1,0,,,9,12,2,3,7,9
8.71,robot1,robot2,4.000,-1.000,5.274,8.558,2.618,3.062,1,0,,,9,12,2,3,7,9
10.67,robot1,robot2,4.000,-1.000,5.027,8.106,2.897,2.675,1,0,,,9,12,2,3,7,9
12.62,robot1,robot2,4.000,-1.000,4.986,7.585,2.995,2.991,1,0,,,9,12,2,3,7,9
14.73,robot1,robot2,4.000,-1.000,5.053,7.087,2.987,2.896,1,0,,,9,12,2,3,7,9
16.72,robot1,robot2,4.000,-1.000,5.174,6.459,3.135,2.834,1,0,,,9,12,2,3,7,9
18.68,robot1,robot2,4.000,-1.000,5.150,6.065,2.992,2.887,1,0,,,9,12,2,3,7,9
20.97,robot1,robot2,4.000,-1.000,4.918,5.667,2.877,2.751,1,0,,,9,12,2,3,7,9
23.11,robot1,robot2,4.000,-1.000,4.616,5.320,2.530,2.546,1,0,,,9,12,2,3,7,9
25.22,robot1,robot2,4.000,-1.000,4.258,4.836,2.097,2.705,1,0,,,9,12,2,3,7,9
27.46,robot1,robot2,4.000,-1.000,3.831,4.369,1.638,2.363,1,1,,,9,12,2,3,7,9
29.66,robot1,robot2,4.000,-1.000,3.470,3.864,1.621,3.570,1,0,,,9,12,2,3,7,9
31.62,robot1,robot2,4.000,-1.000,3.089,3.387,2.113,2.270,1,0,,,9,12,2,3,7,9
33.57,robot1,robot2,4.000,-1.000,2.620,2.792,2.607,2.666,1,0,,,9,12,2,3,7,9
35.71,robot1,robot2,4.000,-1.000,2.118,2.279,2.944,2.946,1,1,,,9,12,2,3,7,9
37.78,robot1,robot2,4.000,-1.000,1.584,1.769,3.108,3.023,1,0,,,9,12,2,3,7,9
39.36,robot1,robot2,4.000,-1.000,1.127,1.227,3.083,3.265,1,0,,,9,12,2,3,7,9
40.21,robot1,robot2,4.000,-1.000,0.868,0.928,3.098,3.354,1,0,safe_zone,robot1,10,12,2,3,8,9
