t_s,evader,chaser,safe_x,safe_y,dist_evader_to_safe,path_remaining_evader,dist_chaser_to_evader,path_remaining_chaser,goal_active_evader,goal_active_chaser,event,winner,score_robot1,score_robot2,tags_robot1,tags_robot2,safes_robot1,safes_robot2
0.16,robot2,robot1,4.000,-1.000,7.164,10.799,2.230,0.220,1,0,,,9,9,2,2,7,7
1.87,robot2,robot1,4.000,-1.000,6.878,10.611,2.262,2.642,1,1,,,9,9,2,2,7,7
3.55,robot2,robot1,4.000,-1.000,6.514,10.054,2.161,2.029,1,0,,,9,9,2,2,7,7
5.22,robot2,robot1,4.000,-1.000,6.226,9.483,2.094,2.149,1,0,,,9,9,2,2,7,7
6.83,robot2,robot1,4.000,-1.000,5.947,9.095,2.133,2.211,1,0,,,9,9,2,2,7,7
8.45,robot2,robot1,4.000,-1.000,5.839,8.382,2.425,2.475,1,0,,,9,9,2,2,7,7
10.18,robot2,robot1,4.000,-1.000,5.919,8.106,2.495,2.116,1,0,,,9,9,2,2,7,7
11.74,robot2,robot1,4.000,-1.000,6.099,7.345,2.455,2.495,1,0,,,9,9,2,2,7,7
13.33,robot2,robot1,4.000,-1.000,6.146,6.802,2.383,2.537,1,0,,,9,9,2,2,7,7
14.99,robot2,robot1,4.000,-1.000,6.050,6.570,2.229,2.237,1,0,,,9,9,2,2,7,7
17.02,robot2,robot1,4.000,-1.000,5.826,6.253,1.971,1.992,1,0,,,9,9,2,2,7,7
18.99,robot2,robot1,4.000,-1.000,5.443,5.897,1.496,2.070,1,0,,,9,9,2,2,7,7
21.13,robot2,robot1,4.000,-1.000,4.972,5.402,1.308,1.960,1,0,,,9,9,2,2,7,7
23.27,robot2,robot1,4.000,-1.000,4.584,4.965,1.554,1.998,1,0,,,9,9,2,2,7,7
25.20,robot2,robot1,4.000,-1.000,4.194,4.355,1.946,2.017,1,0,,,9,9,2,2,7,7
27.25,robot2,robot1,4.000,-1.000,3.716,3.870,2.310,2.098,1,0,,,9,9,2,2,7,7
29.45,robot2,robot1,4.000,-1.000,3.230,3.398,2.486,3.199,1,0,,,9,9,2,2,7,7
31.43,robot2,robot1,4.000,-1.000,2.742,2.912,2.482,3.061,1,0,,,9,9,2,2,7,7
33.57,robot2,robot1,4.000,-1.000,2.268,2.366,2.539,2.971,1,0,,,9,9,2,2,7,7
35.72,robot2,robot1,4.000,-1.000,1.761,1.870,2.750,2.367,1,0,,,9,9,2,2,7,7
37.78,robot2,robot1,4.000,-1.000,1.256,1.373,2.866,2.515,1,0,,,9,9,2,2,7,7
39.37,robot2,robot1,4.000,-1.000,0.846,0.872,2.858,2.511,1,0,safe_zone,robot2,9,10,2,2,7,8
