t_s,evader,chaser,safe_x,safe_y,dist_evader_to_safe,path_remaining_evader,dist_chaser_to_evader,path_remaining_chaser,goal_active_evader,goal_active_chaser,event,winner,score_robot1,score_robot2,tags_robot1,tags_robot2,safes_robot1,safes_robot2
1.67,robot1,robot2,4.000,-1.000,6.625,9.689,2.175,0.269,1,0,,,3,2,1,0,2,2
3.66,robot1,robot2,4.000,-1.000,6.212,9.175,2.467,3.110,1,1,,,3,2,1,0,2,2
5.80,robot1,robot2,4.000,-1.000,5.801,8.675,2.765,2.411,1,0,,,3,2,1,0,2,2
7.82,robot1,robot2,4.000,-1.000,5.468,8.255,2.708,2.792,1,0,,,3,2,1,0,2,2
9.65,robot1,robot2,4.000,-1.000,5.203,7.792,2.683,2.390,1,0,,,3,2,1,0,2,2
11.28,robot1,robot2,4.000,-1.000,5.071,7.421,2.665,2.278,1,0,,,3,2,1,0,2,2
12.95,robot1,robot2,4.000,-1.000,5.078,6.883,2.643,2.496,1,1,,,3,2,1,0,2,2
14.46,robot1,robot2,4.000,-1.000,5.093,5.949,2.586,2.277,1,0,,,3,2,1,0,2,2
16.00,robot1,robot2,4.000,-1.000,5.030,5.762,2.355,2.445,1,0,,,3,2,1,0,2,2
17.71,robot1,robot2,4.000,-1.000,4.799,5.302,2.057,2.016,1,0,,,3,2,1,0,2,2
19.25,robot1,robot2,4.000,-1.000,4.428,5.071,1.694,1.788,1,0,,,3,2,1,0,2,2
20.85,robot1,robot2,4.000,-1.000,3.953,4.443,1.445,1.820,1,0,,,3,2,1,0,2,2
22.49,robot1,robot2,4.000,-1.000,3.571,4.112,1.555,2.059,1,0,,,3,2,1,0,2,2
24.10,robot1,robot2,4.000,-1.000,3.198,3.525,1.872,2.177,1,0,,,3,2,1,0,2,2
25.65,robot1,robot2,4.000,-1.000,2.787,2.773,2.198,1.931,1,0,,,3,2,1,0,2,2
27.24,robot1,robot2,4.000,-1.000,2.289,2.447,2.361,2.509,1,0,,,3,2,1,0,2,2
28.93,robot1,robot2,4.000,-1.000,1.799,1.817,2.380,3.303,1,0,,,3,2,1,0,2,2
30.89,robot1,robot2,4.000,-1.000,1.322,1.338,2.448,5.414,1,0,,,3,2,1,0,2,2
32.32,robot1,robot2,4.000,-1.000,0.978,1.085,2.607,4.942,1,0,safe_zone,robot1,4,2,1,0,3,2
